shot,ammo_before,ammo_after,keyframe,time_sec,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,45,44,407,3.3916666666666666,1274.6317697574389,713.964446342409,-5.36823024256114,-6.035553657590981,0.25,75.61941528320312,1276.2333772041293,724.7824016506463,-3.2673493083843823,-4.830555034026361,-3.2673493083843823,-4.830555034026361,1.4897208045674688,-10.91564352138164,-4.757070112951851,6.085088487355279,-1.6901809140424575,-10.886405744746412,-1.0535885364422144,1.0535885364422142
2,44,43,420,3.5,1286.8659730000768,704.1415383685221,6.865973000076792,-15.858461631477894,1.0,63.35829734802246,1287.8254722594954,677.794776539508,8.324745746981762,42.15707007711194,11.592095055366144,46.9876251111383,0.7763735418091073,26.427308584845264,7.5483722051726545,15.729761492266675,1.1456009150842874,37.33219166977199,0.39028794933082284,0.663300587111392
3,43,42,434,3.6166666666666667,1282.4944280408472,694.3270906893714,2.494428040847197,-25.672909310628597,0.5,64.3623275756836,1278.205737210391,628.0399763627964,-1.294989302122758,91.91187025382351,-9.61973504910452,49.75480017671157,-4.508418363212513,66.30941344475389,3.213429061089755,25.602456809069622,5.626080446478909,39.835392960856666,0.1727113416521056,0.49058924545928684
4,42,41,446,3.716666666666667,1266.915971242172,695.3756860248125,-13.084028757828037,-24.624313975187533,1.5,64.18286514282227,1258.0683451562686,591.5915475897212,-21.43238135624506,128.3602990268987,-20.1373920541223,36.44842877307519,-9.674308889874055,103.3623725283544,-11.758072466371004,24.997926498544302,6.396060151642359,36.86052924634953,-1.4164245418466062,1.907013787305889
5,41,40,459,3.825,1272.5280206821749,693.1439661375638,-7.471979317825117,-26.85603386243622,0.5,36.501909255981445,1268.1104267294734,541.1470619257552,-11.390299783040291,178.80478469086472,10.042081573204769,50.44448566396602,-5.141375420757868,151.8059630950221,-6.248924362282423,26.998821595842628,-3.230583231045557,48.547835016750696,0.3684306067045981,1.5385831806012922
6,40,39,472,3.933333333333333,1274.0364570663287,692.7768440449638,-5.963542933671306,-27.22315595503619,1.25,41.24403381347656,1268.1150808800953,536.6467816404613,-11.385645632418345,183.30506497615863,0.004654150621945519,4.500280285293911,-6.2384160375984266,156.06254106095412,-5.147229594819919,27.242523915204515,1.1464752808046796,4.243530196141137,0.8721526788041077,0.6664305017971877
7,39,38,485,4.041666666666667,1280.9954096627953,693.6978214038173,0.9954096627952822,-26.30217859618267,0.5,38.62757682800293,1274.5789146597606,505.24234579390964,-4.9218118527530805,214.7095008227103,6.463833779665265,31.404435846551678,-6.482718725235372,188.45806535268548,1.5609068724822919,26.25143547002483,0.32587137008272293,32.39480646322022,0.5221639508791109,0.14426655091807794
8,38,37,498,4.15,1274.4580440447605,693.7760585104212,-5.541955955239473,-26.223941489578806,-0.25,37.86794567108154,1283.8182908940223,490.26062091556287,4.317564381508646,229.69122570105708,9.239376234261726,14.981724878346768,9.989741450647216,203.6564041566072,-5.67217706913857,26.03482154444987,-16.83344929414261,14.797514369189116,1.5232674657111887,-1.3790009147931066
9,37,36,511,4.258333333333334,1268.3885162994588,698.7250148406799,-11.611483700541157,-21.274985159320067,-1.0,40.67194938659668,1297.0927903440584,443.56057764519903,17.592063831544692,276.3912689714209,13.274499450036046,46.700043270363835,29.458336322219793,255.59368370347943,-11.866272490675101,20.797585267941486,-21.315128324469697,51.207152796408536,0.6722445217827877,-2.051245436575893
10,36,35,524,4.366666666666666,1281.6494552846975,699.2093551578066,1.649455284697524,-20.790644842193387,-2.5,33.21818828582764,1311.2782448506,423.06264384768974,31.777518338086338,296.8892027689302,14.185454506541646,20.49793379750929,30.59462194258367,276.0925900128192,1.1828963955026666,20.796612756111017,-2.0855936342825316,20.424167157629086,0.6065016420519697,-2.6577470786278616
11,35,34,538,4.483333333333333,1286.2919179843652,701.4850071362628,6.291917984365227,-18.514992863737234,-1.25,60.10813331604004,1323.4774413518853,407.56131017107697,43.97671483937165,312.390536445543,12.199196501285314,15.501333676612774,38.176124068477975,293.61611753587914,5.8005907708936775,18.774418909663837,-8.500013809781649,17.09686978864545,0.38176167160408714,-3.0395087502319478
12,34,33,551,4.591666666666667,1278.6025038337402,699.8539983887091,-1.3974961662597707,-20.1460016112909,-1.25,63.99176216125488,1322.0652990880521,373.34431470223836,42.56457257553848,346.6075319143816,-1.412142263833175,34.216995468838604,44.50615296544993,326.609323812294,-1.9415803899114508,19.998208102087574,-8.033297918486824,32.620347189865925,-0.06548253677413741,-2.974026213457811
