shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg,trainer_recoil_x_right_px,trainer_recoil_y_up_px,trainer_shot_delta_x_right_px,trainer_shot_delta_y_up_px,trajectory_correction
11,50,49,589,4.908333333333333,767,1270.287026879073,698.7485167073386,-9.712973120927018,-21.25148329266142,2.0,37.71041488647461,1236.3978481979495,396.6869642712982,-39.11571179540101,300.97920793638076,-13.73895886533137,32.13916208157707,-33.95166296206435,302.0331049455572,-5.164048833336665,-1.0538970091764668,-0.14101435812153795,25.994029602380806,0.5240873553560633,0.16835005776001385,-39.11571179540101,300.97920793638076,-13.73895886533137,32.13916208157707,
12,49,48,598,4.983333333333333,842,1271.3016938186538,706.5308625498211,-8.698306181346197,-13.469137450178891,1.5,61.20863914489746,1219.2780814303123,381.10710189203604,-56.235478563038214,316.55907031564294,-17.119766767637202,15.579862379262181,-51.97360983705266,325.45618391160025,-4.2618687259855506,-8.897113595957308,17.93476254195548,23.489901872465452,0.38130981782372725,-0.21295976006371287,-56.235478563038214,316.55907031564294,-17.119766767637202,15.579862379262181,
13,48,47,607,5.058333333333334,917,1266.0489719396355,703.4505825114328,-13.951028060364479,-16.5494174885672,2.5,41.53947067260742,1208.3503932062201,360.509520427799,-67.16316678713042,337.15665177988,-10.927688224092208,20.597581464237066,-57.6623530142258,342.97166802722825,-9.500813772904621,-5.81501624734824,5.650353700510777,17.527905915989322,-0.08742657913708955,-0.1255331809266235,-67.16316678713042,337.15665177988,-10.927688224092208,20.597581464237066,
14,47,46,616,5.133333333333334,992,1280.1529950358454,704.9426267513488,0.15299503584537888,-15.057373248651174,2.75,44.68237113952637,1212.7054345877457,342.5570243527013,-62.80812540560487,355.10914785497766,4.355041381525552,17.952496075097656,-67.59024700066016,362.3877284215482,4.782121595055287,-7.278580566570554,10.111447345529996,19.32110537263179,-0.6685132298779034,0.5429800489512788,-62.80812540560487,355.10914785497766,4.355041381525552,17.952496075097656,
15,46,45,626,5.216666666666667,1075,1266.9415060779754,703.2979034543528,-13.058493922024581,-16.702096545647237,2.0,89.21101379394531,1191.4496750448961,305.4320747539673,-84.06388494845442,392.2340974537117,-21.255759542849546,37.12494959873402,-75.56669221552602,397.80756804770795,-8.497192732928397,-5.573470593996262,8.134844952089452,35.38379593845343,0.2866197305697681,0.25636031838151097,-84.06388494845442,392.2340974537117,-21.255759542849546,37.12494959873402,
16,45,44,635,5.291666666666667,1150,1269.498379396583,709.7599562344282,-10.501620603416995,-10.24004376557184,2.0,37.37659168243408,1185.438096975076,295.0365899130625,-90.0754630182746,402.62958229461645,-6.011578069820189,10.395484840904771,-83.97579164270019,414.8107366743781,-6.099671375574417,-12.181154379761665,8.267918638723586,17.072264580498086,0.7311315115924761,-0.47477119321096434,-90.0754630182746,402.62958229461645,-6.011578069820189,10.395484840904771,
17,44,43,644,5.366666666666666,1225,1280.5291136786436,700.8298774780592,0.5291136786436255,-19.17012252194081,1.5,64.25605583190918,1198.727070124947,250.9210392568673,-76.78648986840358,446.7451329508117,13.288973149871026,44.11555065619524,-81.67027787367806,449.90565447219615,4.883788005274482,-3.160521521384453,-2.5466610687624325,35.0782434904545,-0.08098337249950593,-0.3937878207114587,-76.78648986840358,446.7451329508117,13.288973149871026,44.11555065619524,
18,43,42,653,5.441666666666666,1300,1269.436771469178,703.3395452563909,-10.563228530822016,-16.66045474360908,1.25,36.34339904785156,1182.2959637007534,225.58757227027445,-93.21759629259714,472.07859993740453,-16.43110642419356,25.33346698659284,-87.18749624448651,477.7224626448358,-6.030100048110626,-5.6438627074312535,5.59508013292043,27.801251658348406,-0.5542086427851719,0.1604208220737118,-93.21759629259714,472.07859993740453,-16.43110642419356,25.33346698659284,
19,42,41,662,5.516666666666667,1375,1279.5666794456574,703.6217570556958,-0.433320554342572,-16.378242944304247,1.25,39.2530574798584,1192.8087940755847,189.01088945389995,-82.70476591776583,508.65528275377903,10.51283037483131,36.5766828163745,-86.84842668223882,514.6087225459152,4.1436607644729975,-5.953439792136123,-0.13516667534372573,36.88757063873834,-0.1562970443064038,0.3167178663801151,-82.70476591776583,508.65528275377903,10.51283037483131,36.5766828163745,
20,41,40,672,5.6,1458,1277.142419301435,703.1893578821847,-2.857580698565016,-16.81064211781529,0.75,61.5267333984375,1188.1808373671126,138.54863372633497,-87.33272262623791,559.117538481344,-4.627956708472084,50.46225572756498,-88.93801093224215,564.6447479124377,1.6052883060042404,-5.527209431093638,2.0194159378984295,50.03890642377132,0.39706461073277927,-0.08034674435266245,-87.33272262623791,559.117538481344,-4.627956708472084,50.46225572756498,
21,40,39,681,5.675,1533,1284.7945267255059,702.8365302989885,4.794526725505875,-17.163469701011536,0.5,70.47941207885742,1203.3643503947699,114.64784124916673,-72.14920959858068,583.0183309585123,15.183513027657227,23.90079247716824,-81.24983334483682,588.1393296075379,9.100623746256133,-5.120998649025637,-7.934259505682348,23.41262415321512,0.5208114670743987,-0.6011582114270595,-72.14920959858068,583.0183309585123,15.183513027657227,23.90079247716824,
22,39,38,690,5.75,1608,1282.0193845006647,700.6668527926358,2.019384500664728,-19.333147207364163,0.0,41.76124382019043,1212.6782859855823,94.25916775729456,-62.83527400776825,603.4070044503844,9.313935590812434,20.38867349187217,-69.45620129398571,606.4200543402375,6.620927286217466,-3.0130498898530504,-11.68455201357051,18.350637535131455,-0.9423853406289687,0.3412271292019057,-62.83527400776825,603.4070044503844,9.313935590812434,20.38867349187217,
23,38,37,699,5.825,1683,1274.5054102179308,699.9508618751263,-5.49458978206917,-20.049138124873707,-0.5,45.53599739074707,1215.052607430981,68.25738696427084,-60.460952562369584,629.4087852434081,2.374321445398664,26.001780793023727,-59.670182572637714,631.6351638917535,-0.7907699897318707,-2.226378648345303,-9.512459130978641,25.31957806502669,-0.2790856743163072,0.6203128035182119,-60.460952562369584,629.4087852434081,2.374321445398664,26.001780793023727,
24,37,36,708,5.9,1758,1276.24849892846,697.8923452088221,-3.7515010715399058,-22.10765479117788,-1.25,55.04819107055664,1224.5730758048876,36.94373995431715,-50.94048418846296,660.7224322533618,9.520468373906624,31.313647009953684,-51.73157731160677,660.9391496542637,0.7910931231438099,-0.21671740090187086,-7.864162586184648,29.324051252818776,0.4748107874427187,0.14550201607549482,-50.94048418846296,660.7224322533618,9.520468373906624,31.313647009953684,
25,36,35,718,5.983333333333333,1842,1279.8204671898056,693.8512936864747,-0.17953281019435963,-26.14870631352528,-1.5,73.40918350219727,1232.0461482737614,0.01068322198068472,-43.46741171958911,697.6554889856983,7.473072468873852,36.93305673233647,-47.66439459924777,693.8415962564793,4.196982879658663,3.813892729218992,-4.20546455927979,32.88505793621198,0.3863670435334095,-0.24086502745791286,-43.46741171958911,697.6554889856983,7.473072468873852,36.93305673233647,
