frame,step_center_dx,step_center_dy_down,step_rotation_deg,ransac_scale_diagnostic,good_matches,inliers,inlier_ratio,median_reprojection_error_px,status,center_x_in_reference,center_y_in_reference,rotation_to_reference_deg
232,0.0,0.0,0.0,nan,0,0,0.0,nan,reference,1280.0,720.0,0.0
233,-0.022674256837944995,0.012171058263902523,0.00029241082458285626,0.99997836241246,663,658,0.9924585218702866,0.08384927805900073,ok,1280.0226741947224,719.9878288260176,-0.00029241082458285626
234,-0.04834230910500992,0.004792068158849361,4.1423801784110126e-05,0.9999866091226959,693,683,0.9855699855699855,0.06906918564182055,ok,1280.0710164759057,719.9830364761918,-0.0003338346263669663
235,-0.010990904268737722,0.013977306386095734,0.00025424278632178737,0.9999904481588365,674,669,0.9925816023738873,0.07238685757803172,ok,1280.0820072367126,719.9690590569971,-0.0005880774126887535
236,-0.006839703325113078,0.013618701552559287,-0.0008234682670283955,1.0000002184721752,661,656,0.9924357034795764,0.07904088761210423,ok,1280.088846995988,719.9554403835444,0.00023539085433964122
237,-0.20994265912440824,0.002819937325284627,0.0013624208382914237,0.9999926921233827,638,618,0.9686520376175548,0.11142056637369202,ok,1280.2987895996025,719.952616316567,-0.0011270299839517813
238,-0.003390915411955575,0.011236558904784033,0.00031902460245901947,1.0000036284435034,682,678,0.9941348973607038,0.05851498541690659,ok,1280.3021802314204,719.9413796720843,-0.0014460545864108003
239,-0.018564739117209683,0.016996707965290625,-0.0003572971947348968,0.9999973238978118,666,658,0.987987987987988,0.0786559395940654,ok,1280.3207446475562,719.9243826113475,-0.0010887573916759036
240,-0.12210531544769765,0.015093777956963095,0.0009062398157175946,0.9999947244097585,664,656,0.9879518072289156,0.12242921209533775,ok,1280.4428494373756,719.9092845817819,-0.0019949972073934974
241,0.007146019533820436,-0.0005812461288314807,5.569525712625307e-05,0.9999876173173039,700,696,0.9942857142857143,0.05111188917884878,ok,1280.43570343865,719.9098660836761,-0.0020506924645197506
242,7.244484290084301,4.093941315971392,-0.15695406253481464,0.9987251713870748,496,459,0.9254032258064516,1.1214173992939758,ok,1273.2023138837665,715.7963537553619,0.15490337007029462
243,-1.1951818162576728,5.102506123013313,-0.06018061194621814,0.9995312244968544,526,482,0.9163498098859315,0.46900502825650214,ok,1274.4166416522621,710.6983701951724,0.21508398201651266
244,-6.561474936808509,5.290740894580722,-0.07311213648155451,0.9994315670515166,523,485,0.9273422562141491,0.611618929690802,ok,1281.0046457464798,705.4407001204605,0.28819611849806703
245,-0.8465787345967328,0.13711109303994817,0.04297249738137717,0.9999080955520706,544,529,0.9724264705882353,0.2748680220562834,ok,1281.851803555397,705.3072135949365,0.2452236211166899
246,3.1227133488534946,0.5165554073935255,0.11326657023970876,1.0002675424953908,530,511,0.9641509433962264,0.3473598976790847,ok,1278.7302881582523,704.7834676895557,0.13195705087698134
247,0.07673319193008865,0.6841959861812938,0.1464488852796751,1.000269420611533,546,525,0.9615384615384616,0.3720243088064301,ok,1278.6533819149336,704.0992911334031,-0.014491834402693487
248,-1.1845140554460158,0.38656802526384126,0.1668621019652603,1.0003460106873039,545,522,0.9577981651376147,0.46490742404539764,ok,1279.8366664646976,703.708975799352,-0.18135393636795352
249,-0.6459614646184946,0.6276146368807076,0.09004986449764477,1.0003898510990197,562,550,0.9786476868327402,0.3945391670252031,ok,1280.4796477519133,703.078308366794,-0.2714038008655982
250,-0.1667850781307152,0.35690089373611045,0.020259187185360687,1.0001743429240353,599,585,0.9766277128547579,0.2899497358950949,ok,1280.6446138802814,702.720563084885,-0.2916629880509588
251,-3.9795254273169576,6.138641685148514,-0.05218355348071634,0.9978138358109514,433,380,0.8775981524249422,1.8564385142270114,ok,1284.5984469123016,696.565341828081,-0.23947943457024254
252,-4.370035495526963,9.690099035632443,-0.22409418756414318,0.9990677228295367,485,442,0.911340206185567,1.0362865263514898,ok,1288.9658802337487,686.8740696858265,-0.015385247006099566
253,-0.2389126802049759,0.4327172557011636,-0.07310939588916743,0.9999270312811261,547,520,0.9506398537477148,0.3454761355306577,ok,1289.2052287450779,686.4415933485907,0.057724148883067775
