frame,change_score,event_threshold,approximate_event
0,0.0,0.26818765154151836,0
1,0.0,0.26818765154151836,0
2,0.0,0.26818765154151836,0
3,0.11281521496355325,0.26818765154151836,0
4,0.12060453783110545,0.26818765154151836,0
5,0.14564381625088382,0.26818765154151836,0
6,0.12909944487358055,0.26818765154151836,0
7,0.1337115846843043,0.26818765154151836,0
8,0.14873201444615788,0.26818765154151836,0
9,0.17494587907710374,0.26818765154151836,0
10,0.16966991126265962,0.26818765154151836,0
11,0.1714466079977653,0.26818765154151836,0
12,0.15763402186230246,0.26818765154151836,0
13,0.15472360498448173,0.26818765154151836,0
14,0.12909944487358055,0.26818765154151836,0
15,0.11806521053804943,0.26818765154151836,0
16,0.1337115846843043,0.26818765154151836,0
17,0.1087114613009218,0.26818765154151836,0
18,0.13926212476455826,0.26818765154151836,0
19,0.14770978917519928,0.26818765154151836,0
20,0.15954480704349314,0.26818765154151836,0
21,0.1660595001069122,0.26818765154151836,0
22,0.15472360498448173,0.26818765154151836,0
23,0.13816985594155148,0.26818765154151836,0
24,0.11146408580454255,0.26818765154151836,0
25,0.0937436866561092,0.26818765154151836,0
26,0.08164965809277261,0.26818765154151836,0
27,0.09211323729436767,0.26818765154151836,0
28,0.08876253645985946,0.26818765154151836,0
29,0.1337115846843043,0.26818765154151836,0
30,0.1435481125130547,0.26818765154151836,0
31,0.16966991126265962,0.26818765154151836,0
32,0.6844595302023696,0.26818765154151836,0
33,0.6806859285554046,0.26818765154151836,0
34,0.6746491793158242,0.26818765154151836,0
35,0.0,0.26818765154151836,0
36,0.017407765595569783,0.26818765154151836,0
37,0.017407765595569783,0.26818765154151836,0
38,0.017407765595569783,0.26818765154151836,0
39,0.017407765595569783,0.26818765154151836,0
40,0.017407765595569783,0.26818765154151836,0
41,0.017407765595569783,0.26818765154151836,0
42,0.017407765595569783,0.26818765154151836,0
43,0.017407765595569783,0.26818765154151836,0
44,0.024618298195866545,0.26818765154151836,0
45,0.017407765595569783,0.26818765154151836,0
46,0.017407765595569783,0.26818765154151836,0
47,0.0,0.26818765154151836,0
48,0.0,0.26818765154151836,0
49,0.017407765595569783,0.26818765154151836,0
50,0.017407765595569783,0.26818765154151836,0
