frame,change_score,event_threshold,approximate_event
0,0.0,0.13095346863555515,0
1,0.0,0.13095346863555515,0
2,0.0,0.13095346863555515,0
3,0.0,0.13095346863555515,0
4,0.0,0.13095346863555515,0
5,0.0,0.13095346863555515,0
6,0.0,0.13095346863555515,0
7,0.0,0.13095346863555515,0
8,0.0,0.13095346863555515,0
9,0.017407765595569783,0.13095346863555515,0
10,0.017407765595569783,0.13095346863555515,0
11,0.03892494720807615,0.13095346863555515,0
12,0.034815531191139566,0.13095346863555515,0
13,0.034815531191139566,0.13095346863555515,0
14,0.0,0.13095346863555515,0
15,0.017407765595569783,0.13095346863555515,0
16,0.017407765595569783,0.13095346863555515,0
17,0.017407765595569783,0.13095346863555515,0
18,0.03015113445777636,0.13095346863555515,0
19,0.03015113445777636,0.13095346863555515,0
20,0.017407765595569783,0.13095346863555515,0
21,0.017407765595569783,0.13095346863555515,0
22,0.017407765595569783,0.13095346863555515,0
23,0.017407765595569783,0.13095346863555515,0
24,0.03015113445777636,0.13095346863555515,0
25,0.03015113445777636,0.13095346863555515,0
26,0.024618298195866545,0.13095346863555515,0
27,0.017407765595569783,0.13095346863555515,0
28,0.024618298195866545,0.13095346863555515,0
29,0.03015113445777636,0.13095346863555515,0
30,0.03015113445777636,0.13095346863555515,0
31,0.024618298195866545,0.13095346863555515,0
32,0.0,0.13095346863555515,0
33,0.0,0.13095346863555515,0
34,0.0,0.13095346863555515,0
35,0.017407765595569783,0.13095346863555515,0
36,0.03015113445777636,0.13095346863555515,0
37,0.03015113445777636,0.13095346863555515,0
38,0.024618298195866545,0.13095346863555515,0
39,0.0,0.13095346863555515,0
40,0.017407765595569783,0.13095346863555515,0
41,0.017407765595569783,0.13095346863555515,0
42,0.017407765595569783,0.13095346863555515,0
43,0.024618298195866545,0.13095346863555515,0
44,0.017407765595569783,0.13095346863555515,0
45,0.03015113445777636,0.13095346863555515,0
46,0.03015113445777636,0.13095346863555515,0
47,0.017407765595569783,0.13095346863555515,0
48,0.024618298195866545,0.13095346863555515,0
49,0.024618298195866545,0.13095346863555515,0
50,0.0,0.13095346863555515,0
51,0.017407765595569783,0.13095346863555515,0
52,0.03015113445777636,0.13095346863555515,0
53,0.03892494720807615,0.13095346863555515,0
54,0.03892494720807615,0.13095346863555515,0
55,0.04264014327112209,0.13095346863555515,0
56,0.03015113445777636,0.13095346863555515,0
57,0.04264014327112209,0.13095346863555515,0
58,0.03015113445777636,0.13095346863555515,0
59,0.03892494720807615,0.13095346863555515,0
60,0.03015113445777636,0.13095346863555515,0
61,0.03015113445777636,0.13095346863555515,0
62,0.034815531191139566,0.13095346863555515,0
63,0.03892494720807615,0.13095346863555515,0
64,0.046056618647183835,0.13095346863555515,0
65,0.04264014327112209,0.13095346863555515,0
66,0.04923659639173309,0.13095346863555515,0
67,0.046056618647183835,0.13095346863555515,0
68,0.046056618647183835,0.13095346863555515,0
69,0.024618298195866545,0.13095346863555515,0
70,0.04264014327112209,0.13095346863555515,0
71,0.03892494720807615,0.13095346863555515,0
72,0.04264014327112209,0.13095346863555515,0
73,0.03015113445777636,0.13095346863555515,0
74,0.03892494720807615,0.13095346863555515,0
75,0.03015113445777636,0.13095346863555515,0
76,0.03015113445777636,0.13095346863555515,0
77,0.024618298195866545,0.13095346863555515,0
78,0.024618298195866545,0.13095346863555515,0
79,0.017407765595569783,0.13095346863555515,0
80,0.017407765595569783,0.13095346863555515,0
81,0.0,0.13095346863555515,0
82,0.017407765595569783,0.13095346863555515,0
