shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg,trainer_recoil_x_right_px,trainer_recoil_y_up_px,trainer_shot_delta_x_right_px,trainer_shot_delta_y_up_px,trajectory_correction
1,60,59,210,1.75,0,1277.2392573500197,709.076792194517,-2.7607426499803296,-10.923207805483003,-0.5,90.5331802368164,1275.8459956317706,713.3454956452001,-2.7116927162128377,6.727213974774031,-2.7116927162128377,6.727213974774031,-1.516440553752318,-4.29909897313496,-1.1952521624605197,11.026312947908991,1.4679332157334102,-4.315902687505854,-0.6452085520816802,0.6452085520816799,-2.7116927162128377,6.727213974774031,-2.7116927162128377,6.727213974774031,
2,59,58,221,1.8416666666666666,92,1283.6636111860196,704.5073993537515,3.6636111860195797,-15.492600646248547,0.0,82.42924118041992,1295.6329665077888,676.0488757674259,17.075278159805293,44.02383385254825,19.78697087601813,37.29661987777422,11.86878824071573,28.482650368609256,5.206489919089563,15.541183483938994,-13.171986684338663,32.8680119047807,0.27299608019216826,0.3722124718895117,17.075278159805293,44.02383385254825,19.78697087601813,37.29661987777422,
3,58,57,232,1.9333333333333333,183,1290.5879916309339,695.7457315292809,10.587991630933857,-24.254268470719126,-1.25,80.76383590698242,1302.3892491526922,633.6981505067351,23.831560804708715,86.374559113239,6.756282644903422,42.35072526069075,11.796552107839943,62.04963567385391,12.035008696868772,24.32492343938509,0.07874852123859455,33.566970658845435,0.361096417094171,0.011116054795340948,23.831560804708715,86.374559113239,6.756282644903422,42.35072526069075,
4,57,56,241,2.0083333333333333,258,1290.314379316492,691.8723122836428,10.314379316492023,-28.127687716357173,-1.75,89.28598022460938,1309.6129808868307,617.036622347794,31.055292538847198,103.03608727218011,7.223731734138482,16.66152815894111,19.59365992334301,74.72924149782693,11.461632615504186,28.306845774353178,-7.929434178772681,12.597276203307615,0.6110059355853783,-0.599889880790036,31.055292538847198,103.03608727218011,7.223731734138482,16.66152815894111,
5,56,55,252,2.1,350,1286.8990484065637,694.3705466530735,6.899048406563679,-25.62945334692654,-0.75,90.88218688964844,1308.7162795174834,597.8418709127928,30.158591169499914,122.2308387071813,-0.8967013693472836,19.194751435001194,21.916271754650552,96.50222056297423,8.242319414849362,25.728618144207076,-2.4066887495996525,21.763845991754806,-0.3785946173973572,-0.22129526339267896,30.158591169499914,122.2308387071813,-0.8967013693472836,19.194751435001194,
6,55,54,263,2.191666666666667,442,1288.7242146824124,695.5347746848289,8.724214682412367,-24.465225315171097,-0.5,79.04901123046875,1318.0907283905544,565.5623145964884,39.533040042570974,154.51039502348578,9.37444887307106,32.27955631630448,29.303747760981878,129.994933042895,10.229292281589096,24.51546198059077,-7.301486213924363,33.5115635277532,-0.3683560115981589,0.14706074820547954,39.533040042570974,154.51039502348578,9.37444887307106,32.27955631630448,
7,54,53,273,2.275,525,1279.8466592746352,701.4361762666376,-0.153340725364842,-18.56382373336237,-1.0,68.54237365722656,1303.3335040184827,554.6825670208002,24.77581567049924,165.39014259917394,-14.757224372071732,10.879747575688157,23.348891185810317,146.75298232165312,1.426924484688925,18.63716027752082,6.079222619746815,16.713335537818466,-0.2787128919846478,0.42577364019012715,24.77581567049924,165.39014259917394,-14.757224372071732,10.879747575688157,
8,53,52,284,2.3666666666666667,617,1285.3958318921175,699.1868495482444,5.395831892117485,-20.813150451755632,0.25,99.08617401123047,1310.9479550099118,524.4355453805679,32.39026666192831,195.63716423940627,7.614450991429067,30.247021640232333,25.442350610558606,174.78007217170875,6.9479160513697025,20.857092067697522,-1.9455088750648883,28.037748359010607,0.12337653473536335,0.3023971054547639,32.39026666192831,195.63716423940627,7.614450991429067,30.247021640232333,
9,52,51,295,2.4583333333333335,708,1292.4815735651978,699.6637957365074,12.481573565197777,-20.33620426349262,0.0,89.44800186157227,1311.8768085907393,499.9807255119281,33.319120242755844,220.09198410804606,0.9288535808275356,24.454819868639788,19.23031728973001,199.7852155704095,14.088802953025834,20.30676853763657,6.415116010399743,24.953814156192152,-0.16341393161525025,0.46581103707001403,33.319120242755844,220.09198410804606,0.9288535808275356,24.454819868639788,
10,51,50,305,2.5416666666666665,792,1288.862736066026,703.8077558571936,8.862736066025946,-16.19224414280643,0.5,65.24517440795898,1287.875272342827,478.545996275502,9.317583994843517,241.52671334447217,-24.001536247912327,21.434729236426108,-0.903593052723636,225.21613491966122,10.221177047567153,16.310578424810956,20.002103146272248,25.5347189988845,0.7621667566689934,-0.2963557195989782,9.317583994843517,241.52671334447217,-24.001536247912327,21.434729236426108,
11,50,49,316,2.6333333333333333,883,1281.1839185607087,700.450862323327,1.183918560708662,-19.549137676673013,1.75,55.495391845703125,1271.033444767678,453.2127077997849,-7.524243580305438,266.86000182018927,-16.841827575148955,25.333288475717097,-9.961578403061367,247.22763024123435,2.437334822755929,19.632371578954917,8.84493677692626,22.09796638405328,0.2571168775984247,-0.5534725971974027,-7.524243580305438,266.86000182018927,-16.841827575148955,25.333288475717097,
12,49,48,326,2.716666666666667,967,1290.1171884508053,701.9959246618016,10.117188450805315,-18.00407533819839,1.25,81.20917510986328,1277.389627834124,436.08337771939796,-1.1680605138594728,283.9893319005762,6.356183066445965,17.12933008038692,-12.463198154708834,265.7665244580994,11.295137640849362,18.22280744247678,2.230250737273991,18.573494065867862,0.28441592669255716,-0.8378885238899598,-1.1680605138594728,283.9893319005762,6.356183066445965,17.12933008038692,
13,48,47,337,2.808333333333333,1058,1287.052634036967,703.6902848824182,7.052634036966992,-16.309715117581845,1.75,57.44773864746094,1266.4406767823964,426.20150075652816,-12.117011565587063,293.871208863446,-10.94895105172759,9.881876962869796,-20.382902218087338,277.39163410413994,8.265890652500275,16.479574759306047,7.756156452129289,11.73485934402538,-0.03562420774386717,-0.8022643161460927,-12.117011565587063,293.871208863446,-10.94895105172759,9.881876962869796,
14,47,46,348,2.9,1150,1285.9534105512253,701.0507894374739,5.953410551225261,-18.949210562526105,1.5,78.61357498168945,1254.7171488491044,403.1376763478091,-23.840539498879025,316.9350332721651,-11.723527933291962,23.063824408719086,-30.868811902056223,297.80155974774874,7.028272403177198,19.13347352441633,10.089373403646732,20.60883089842264,0.3054800175481282,-1.107744333694221,-23.840539498879025,316.9350332721651,-11.723527933291962,23.063824408719086,
