frame,change_score,event_threshold,approximate_event
0,0.0,0.15389683237765533,0
1,0.0,0.15389683237765533,0
2,0.0,0.15389683237765533,0
3,0.017407765595569783,0.15389683237765533,0
4,0.017407765595569783,0.15389683237765533,0
5,0.0,0.15389683237765533,0
6,0.0,0.15389683237765533,0
7,0.0,0.15389683237765533,0
8,0.0,0.15389683237765533,0
9,0.0,0.15389683237765533,0
10,0.0,0.15389683237765533,0
11,0.0,0.15389683237765533,0
12,0.0,0.15389683237765533,0
13,0.0,0.15389683237765533,0
14,0.0,0.15389683237765533,0
15,0.0,0.15389683237765533,0
16,0.0,0.15389683237765533,0
17,0.0,0.15389683237765533,0
18,0.0,0.15389683237765533,0
19,0.0,0.15389683237765533,0
20,0.0,0.15389683237765533,0
21,0.017407765595569783,0.15389683237765533,0
22,0.017407765595569783,0.15389683237765533,0
23,0.03015113445777636,0.15389683237765533,0
24,0.024618298195866545,0.15389683237765533,0
25,0.017407765595569783,0.15389683237765533,0
26,0.034815531191139566,0.15389683237765533,0
27,0.03892494720807615,0.15389683237765533,0
28,0.03015113445777636,0.15389683237765533,0
29,0.04264014327112209,0.15389683237765533,0
30,0.034815531191139566,0.15389683237765533,0
31,0.03892494720807615,0.15389683237765533,0
32,0.03892494720807615,0.15389683237765533,0
33,0.03015113445777636,0.15389683237765533,0
34,0.024618298195866545,0.15389683237765533,0
35,0.03015113445777636,0.15389683237765533,0
36,0.017407765595569783,0.15389683237765533,0
37,0.03015113445777636,0.15389683237765533,0
38,0.024618298195866545,0.15389683237765533,0
39,0.03015113445777636,0.15389683237765533,0
40,0.03892494720807615,0.15389683237765533,0
41,0.03015113445777636,0.15389683237765533,0
42,0.03892494720807615,0.15389683237765533,0
43,0.03015113445777636,0.15389683237765533,0
44,0.034815531191139566,0.15389683237765533,0
45,0.05773502691896258,0.15389683237765533,0
46,0.05504818825631803,0.15389683237765533,0
47,0.05773502691896258,0.15389683237765533,0
48,0.03892494720807615,0.15389683237765533,0
49,0.034815531191139566,0.15389683237765533,0
50,0.046056618647183835,0.15389683237765533,0
51,0.04923659639173309,0.15389683237765533,0
52,0.04923659639173309,0.15389683237765533,0
53,0.05222329678670935,0.15389683237765533,0
54,0.05222329678670935,0.15389683237765533,0
55,0.05773502691896258,0.15389683237765533,0
56,0.06276459144608479,0.15389683237765533,0
57,0.06276459144608479,0.15389683237765533,0
58,0.04923659639173309,0.15389683237765533,0
59,0.05773502691896258,0.15389683237765533,0
60,0.05773502691896258,0.15389683237765533,0
61,0.05222329678670935,0.15389683237765533,0
62,0.05222329678670935,0.15389683237765533,0
63,0.046056618647183835,0.15389683237765533,0
64,0.046056618647183835,0.15389683237765533,0
65,0.04264014327112209,0.15389683237765533,0
66,0.03892494720807615,0.15389683237765533,0
67,0.034815531191139566,0.15389683237765533,0
68,0.034815531191139566,0.15389683237765533,0
69,0.03892494720807615,0.15389683237765533,0
70,0.034815531191139566,0.15389683237765533,0
71,0.034815531191139566,0.15389683237765533,0
