frame,change_score,event_threshold,approximate_event
0,0.0,0.16792276443108123,0
1,0.0,0.16792276443108123,0
2,0.0,0.16792276443108123,0
3,0.024618298195866545,0.16792276443108123,0
4,0.03015113445777636,0.16792276443108123,0
5,0.034815531191139566,0.16792276443108123,0
6,0.04264014327112209,0.16792276443108123,0
7,0.03892494720807615,0.16792276443108123,0
8,0.04264014327112209,0.16792276443108123,0
9,0.034815531191139566,0.16792276443108123,0
10,0.046056618647183835,0.16792276443108123,0
11,0.04264014327112209,0.16792276443108123,0
12,0.024618298195866545,0.16792276443108123,0
13,0.017407765595569783,0.16792276443108123,0
14,0.017407765595569783,0.16792276443108123,0
15,0.0,0.16792276443108123,0
16,0.0,0.16792276443108123,0
17,0.024618298195866545,0.16792276443108123,0
18,0.03015113445777636,0.16792276443108123,0
19,0.03015113445777636,0.16792276443108123,0
20,0.017407765595569783,0.16792276443108123,0
21,0.017407765595569783,0.16792276443108123,0
22,0.017407765595569783,0.16792276443108123,0
23,0.024618298195866545,0.16792276443108123,0
24,0.017407765595569783,0.16792276443108123,0
25,0.017407765595569783,0.16792276443108123,0
26,0.0,0.16792276443108123,0
27,0.0,0.16792276443108123,0
28,0.04923659639173309,0.16792276443108123,0
29,0.04923659639173309,0.16792276443108123,0
30,0.04923659639173309,0.16792276443108123,0
31,0.034815531191139566,0.16792276443108123,0
32,0.034815531191139566,0.16792276443108123,0
33,0.04264014327112209,0.16792276443108123,0
34,0.03015113445777636,0.16792276443108123,0
35,0.034815531191139566,0.16792276443108123,0
36,0.03015113445777636,0.16792276443108123,0
37,0.034815531191139566,0.16792276443108123,0
38,0.03015113445777636,0.16792276443108123,0
39,0.024618298195866545,0.16792276443108123,0
40,0.0,0.16792276443108123,0
41,0.024618298195866545,0.16792276443108123,0
42,0.024618298195866545,0.16792276443108123,0
43,0.034815531191139566,0.16792276443108123,0
44,0.017407765595569783,0.16792276443108123,0
45,0.03892494720807615,0.16792276443108123,0
46,0.03892494720807615,0.16792276443108123,0
47,0.03015113445777636,0.16792276443108123,0
48,0.04264014327112209,0.16792276443108123,0
49,0.05504818825631803,0.16792276443108123,0
50,0.05504818825631803,0.16792276443108123,0
51,0.046056618647183835,0.16792276443108123,0
52,0.03892494720807615,0.16792276443108123,0
53,0.03015113445777636,0.16792276443108123,0
54,0.034815531191139566,0.16792276443108123,0
55,0.034815531191139566,0.16792276443108123,0
56,0.024618298195866545,0.16792276443108123,0
