frame,step_center_dx,step_center_dy_down,step_rotation_deg,ransac_scale_diagnostic,good_matches,inliers,inlier_ratio,median_reprojection_error_px,status,center_x_in_reference,center_y_in_reference,rotation_to_reference_deg
257,0.0,0.0,0.0,nan,0,0,0.0,nan,reference,1280.0,720.0,0.0
258,0.029494745688907642,0.020469412452030156,0.0002795398174008317,1.0000171900639,422,420,0.995260663507109,0.07422504081590403,ok,1279.9705051544438,719.9795307314498,-0.00027953981740083173
259,0.020898001776231467,-0.008027686125274158,-0.00017114313373442987,1.0000078270145079,455,446,0.9802197802197802,0.051458082391849055,ok,1279.949607167855,719.9875584571116,-0.00010839668366640188
260,0.026559075351997308,0.05303428015758982,0.0004918078310242155,0.9999794831373835,412,408,0.9902912621359223,0.09270287708355188,ok,1279.9230475369416,719.9345244551776,-0.0006002045146906172
261,0.019439577211187498,0.042243566966817525,0.0005718767841057762,1.0000086976084281,435,430,0.9885057471264368,0.07486810391107834,ok,1279.9036070955715,719.8922812858885,-0.0011720812987963932
262,0.024386667697172015,0.001900037602354132,0.0006592432740457908,1.0000097971494275,436,433,0.9931192660550459,0.07118046417483125,ok,1279.8792203671567,719.8903820277498,-0.0018313245728421837
263,0.029661571826636646,0.00449646971128459,0.00035129853928150763,0.9999971767843931,434,429,0.988479262672811,0.07913716510796068,ok,1279.849558624063,719.8858866879684,-0.0021826231121236913
264,0.05251503803174273,0.018536784607590562,0.0003594747306518027,1.0000010514396915,434,430,0.9907834101382489,0.06894596523743368,ok,1279.7970427636437,719.8673522333651,-0.002542097842775494
265,-0.0017296106384492305,0.006751041973984684,0.0006449077327508369,1.0000056372122414,448,446,0.9955357142857143,0.05388643352579691,ok,1279.7987719987614,719.8606010951942,-0.00318700557552633
266,-3.6208462006470654e-07,0.0013048151206476177,-0.00011980526233701421,1.0000030177841863,481,481,1.0,0.002552326202066117,ok,1279.7987722909957,719.8592962800559,-0.003067200313189316
267,2.1949507925294256,-3.247330226588474,-0.19910227596457572,1.0002655033332173,344,324,0.9418604651162791,0.580452191582078,ok,1277.5927237651636,723.0990975831942,0.19603507565138614
268,-9.541000446292628,9.091364180422715,-0.1502908340294884,0.9996177439522531,225,200,0.8888888888888888,0.821380323647154,ok,1287.1885025808479,714.0655699722497,0.3463259096808744
269,3.707738353239165,10.77827104473738,-0.18456962275350586,0.9995010747378265,256,211,0.82421875,0.6037832451032455,ok,1283.580792076489,703.2534066675895,0.53089553243438
270,7.327093972513012,3.2735536425775535,-0.039870523411694586,0.9997653123517146,260,225,0.8653846153846154,0.5568587504596845,ok,1276.286671431798,699.9070260028176,0.5707660558460745
271,-1.183808323707126,0.5799893260020781,0.04813200817144496,0.9999270509548732,317,280,0.8832807570977917,0.2605799204771503,ok,1277.4757209129007,699.3378589824766,0.5226340476746296
272,-8.951570673415745,1.0874550307934214,0.36660603446590395,1.0000082199609825,289,244,0.8442906574394463,0.531507730381254,ok,1286.4302197513234,698.2747848938801,0.1560280132087262
273,-0.3935772111155984,0.382696623661559,0.17889942490378388,1.0000372191976443,285,273,0.9578947368421052,0.7280211615691772,ok,1286.8236441656966,697.8919311919959,-0.02287141169505747
274,-0.017336585366365398,0.38744006125352826,0.517784357139402,1.0000275027988672,284,239,0.8415492957746479,0.2368073283940791,ok,1286.8373240625517,697.5043447904305,-0.5406557688344586
275,0.0877231598653907,0.9005600733971733,0.31106642929670286,1.0002662853601936,275,264,0.96,1.1110850027950006,ok,1286.7362239413355,696.6051882055889,-0.8517221981311611
276,1.7251401758262546,-3.5608974341932935,0.007309255461701871,1.000097582396185,242,204,0.8429752066115702,0.5358353164971343,ok,1285.0646639331692,700.1915493561418,-0.859031453592863
277,-10.37960598271161,16.558666798016475,-0.2710531569550953,0.9995525279705778,254,210,0.8267716535433071,0.7496655136724171,ok,1295.2737987135542,683.5272391838,-0.5879782966377681
278,-1.4433573059270657,7.086406824518008,-0.5620978590155131,0.9997457150941222,283,245,0.8657243816254417,0.4194405831330427,ok,1296.713954950543,676.4401811193977,-0.025880437622255878
279,1.3569665421791797,0.9954922559679744,-0.6113173917161351,0.9999490491248365,332,278,0.8373493975903614,0.33393479588046415,ok,1295.3672308099472,675.4308758546626,0.5854369540938781
280,1.0341588847913954,0.8186401042785292,-0.5012621266498719,0.9999184254320327,361,296,0.8199445983379502,0.2293630212948337,ok,1294.3487837149214,674.592769814856,1.0866990807437489
281,0.14474935052885485,0.018380313244961144,-0.13891157655697847,1.0000919134523438,361,341,0.9445983379501385,0.7277227870756701,ok,1294.2044606220002,674.5712976178763,1.2256106573007273
282,0.69097865933918,0.5979103446851468,-0.0780102908346091,1.0000163874815824,396,364,0.9191919191919192,0.3959799801312298,ok,1293.5272635743215,673.9578219080404,1.303620948135336
283,-0.0443081734581483,0.6499032637588016,0.2981057623306508,0.9999663152059246,383,339,0.8851174934725848,0.24714417996615107,ok,1293.5829698495997,673.3087962711245,1.0055151858046858
284,-0.5905041225555578,0.8262655168055062,0.5068583885335651,0.9999764977926768,362,312,0.861878453038674,0.22818023486172062,ok,1294.1806426739106,672.4877012595107,0.4986567972711215
285,1.756653851052306,-2.686367712964284,0.42064251227602045,1.0002171982194386,344,295,0.8575581395348837,0.42358547716029116,ok,1292.4203326776174,675.1716746123263,0.0780142849951019
286,-7.781953462609863,16.037519360801298,0.3108994854711645,0.9994365004896278,238,184,0.773109243697479,0.7622747511938963,ok,1300.1370357185158,659.102657183719,-0.23288520047606212
287,-1.5852194364174466,6.361611145352526,0.18912099428975826,0.9996956980401303,307,258,0.8403908794788274,0.6570498773850454,ok,1301.6753567852013,652.7295429275598,-0.42200619476582013
288,0.5351250611417981,1.2150670591543076,-0.018021673464178087,0.9997467706200212,326,298,0.9141104294478528,0.6188142494590845,ok,1301.1316778290086,651.5182791322214,-0.40398452130164203
289,0.5670897886548119,0.7153936220383912,-0.19969733907664491,0.9994985819256319,301,265,0.8803986710963455,0.6756299001930115,ok,1300.5620409258918,650.8049120027172,-0.20428718222499728
290,0.3920815680828582,0.5403077318176202,-0.3549075341273959,0.9998436101723035,320,262,0.81875,0.3879449555356762,ok,1300.1713810832962,650.2635754267542,0.1506203519023984
291,0.09505908581468248,0.06641948408400822,-0.15534502176421672,0.9998454191835615,350,335,0.9571428571428572,0.5740790221203588,ok,1300.076678038076,650.1966492667877,0.30596537366661497
292,-0.40577188346878756,0.8084480434041552,-0.41427695339733833,0.9997650245304659,349,309,0.8853868194842407,0.59255865319911,ok,1300.4925802712746,649.3933657597255,0.7202423270639531
293,-0.3086358926257162,0.2340095118285035,-0.06754930939512913,0.9999290646273992,358,348,0.9720670391061452,0.315815742566136,ok,1300.8044044164476,649.1636218406979,0.7877916364590823
294,1.6445553054090851,-1.9110090077913355,-0.06413946885853529,1.0003676751106252,319,273,0.8557993730407524,0.5878096997595813,ok,1299.1316171515377,651.0499676061304,0.8519311053176176
295,-9.19154375749963,16.31799211368093,0.14643009409678798,0.9989106828246668,234,168,0.717948717948718,1.0085265361595535,ok,1308.523387625529,634.8463880438219,0.7055010112208295
296,-0.9733929998451458,7.365166479152322,0.28878293914452874,0.9997893288854772,278,228,0.8201438848920863,0.7605715200978935,ok,1309.55032201801,627.4884958897254,0.41671807207630107
297,1.181143523180026,3.0973101090917226,0.4370835083644862,1.0002228032349518,302,254,0.8410596026490066,0.6957455802794368,ok,1308.3680776494296,624.3916058065628,-0.020365436288184626
298,1.2980387211916877,2.412716797042094,0.4899654468286849,0.9996851187943793,280,203,0.725,0.375794563866387,ok,1307.0486007432637,621.9905461324735,-0.510330883116869
299,1.0827241553949989,2.1886778758512264,0.27119238605667983,0.9998985690490259,298,220,0.738255033557047,0.3249308099686515,ok,1305.9361243307308,619.8168399259052,-0.7815232691735488
300,0.33773967553565853,2.244174745408145,0.017378309036314897,1.0004817541425233,324,314,0.9691358024691358,0.6371496712913567,ok,1305.5671269329146,617.5775924414222,-0.7989015782098636
301,0.07765646358893719,2.060547059834448,-0.28553998670199465,1.0000066359902784,314,262,0.8343949044585988,0.4009942015141367,ok,1305.4710116407869,615.5178238712307,-0.5133615915078691
302,-0.2285689467175871,1.725624372530774,-0.5038899832040521,0.999749987936082,310,271,0.8741935483870967,0.4319321248302964,ok,1305.699295320123,613.7921617373745,-0.00947160830381745
303,-0.2696149087564663,0.5188378565346738,-0.2559443836425379,0.9998165514057132,300,260,0.8666666666666667,0.6327969707796046,ok,1305.971139644055,613.2744884968614,0.24647277533872022
304,6.323036083003899,12.320753270609202,-0.736926630565363,0.9993835147280637,328,266,0.8109756097560976,0.9839517555095765,ok,1299.8604924571885,600.8470294878832,0.9833994059040824
305,-4.338599225818143,4.089732771912168,-0.13935046220915287,0.9998288988414356,395,301,0.7620253164556962,0.3608879782513322,ok,1304.2783946922234,596.8430942699263,1.122749868113235
306,-10.051233853217127,3.224463169792898,-0.02539804412648168,1.0002022425832595,338,263,0.7781065088757396,0.5987530649158571,ok,1314.3922210948965,593.8206812931816,1.148147912239717
307,1.135511649320506,0.49483872129303563,0.30870472976857677,0.9999925292118678,364,283,0.7774725274725275,0.3672926892164819,ok,1313.2640809601985,593.3092598404473,0.8394431824711401
308,2.4798999785282376,0.3559756480555052,0.5172833560150295,0.9999073536704141,364,297,0.8159340659340659,0.3100681812147814,ok,1310.7862217343932,592.9393460361573,0.32215982645611085
309,1.385586541841576,0.02841622999358151,0.2536421846083208,0.9999686492684845,375,309,0.824,0.30383855148074035,ok,1309.4006701650799,592.9092728615087,0.06851764184779023
310,2.0475604255148028,0.18330734072310406,0.37381136097961176,0.9999061992975303,362,302,0.8342541436464088,0.36970924682166617,ok,1307.3521620796416,592.7368782525682,-0.30529371913182135
311,0.18631590657014385,0.6773736177442515,0.1912563311922982,1.000021324825689,376,327,0.8696808510638298,0.5028465841744876,ok,1307.1599828300696,592.061144746598,-0.49655005032411953
312,0.5408064491971345,-0.27366096312607624,0.01117595377368216,1.0001066423914506,366,326,0.8907103825136612,0.26145745748647,ok,1306.6216226266993,592.339587253517,-0.5077260040978017
313,7.699059588092268,15.198081983439351,-0.1650393146440286,0.9991145765903493,242,172,0.7107438016528925,1.0351934212024005,ok,1298.8318013913913,577.1878249917113,-0.34268668945377306
314,-8.018502642183648,5.539054429648218,-0.3207231075197634,0.9999608742649398,289,224,0.7750865051903114,0.5600033421711423,ok,1306.8481801209666,571.6456971818061,-0.02196358193400975
315,-3.295331340811572,0.15524900878426706,-0.42419467923850185,1.0001450631457294,329,258,0.78419452887538,0.40953101647259704,ok,1310.1445201375318,571.5135858815487,0.4022310973044919
316,4.832057607081879,0.031310374720305845,-0.32913729933565666,0.9999015466461034,363,290,0.7988980716253443,0.33910294288624826,ok,1305.3132558516936,571.4205995486278,0.7313683966401485
317,1.9059029909203673,0.08915310263273568,-0.13893711084859378,1.0001821687126846,345,325,0.9420289855072463,0.8038324357136398,ok,1303.4089268845794,571.3025077558653,0.8703055074887424
318,-0.7051137640662546,0.4611517780228951,0.03409827615114375,0.9999956661738956,343,315,0.9183673469387755,0.44177311457068696,ok,1304.1206956275596,570.8516955564235,0.8362072313375986
319,-0.5639624796499447,0.5583557115094209,0.08355534759544515,1.0000394133874728,357,344,0.9635854341736695,0.45344785466710436,ok,1304.6919439401206,570.3007961605039,0.7526518837421534
320,-1.3246295112223834,1.4829926709660413,0.5403678072323423,0.9999717562097883,322,262,0.8136645962732919,0.3584733424967689,ok,1306.022058917915,568.8227214837748,0.2122840765098115
321,-0.04609838203805339,0.7267849436459528,0.15491006463032922,1.0000671439040556,300,294,0.98,0.7550528353699216,ok,1306.0688850540241,568.0959830658319,0.05737401187948237
322,11.545380315985994,5.057936109990351,0.24272144569215504,0.99948449140181,325,280,0.8615384615384616,0.8109010284462752,ok,1294.507203142393,563.0754217717364,-0.18534743381267246
323,-10.68825809622831,11.501060773137397,0.22250622815304988,0.9998284072930816,344,275,0.7994186046511628,0.7350268707185492,ok,1305.1133221087414,551.49856984599,-0.40785366196572215
324,-2.2443343613488196,0.712922893541986,-0.003406702236804566,0.9997421711210841,362,353,0.9751381215469613,0.557246533484114,ok,1307.3525681226163,550.7698222442698,-0.4044469597289176
325,3.8414135368498137,0.10219634034433511,-0.1284950823645702,1.0002525692135518,373,336,0.900804289544236,0.42538781514715823,ok,1303.5107069361038,550.6861282979996,-0.27595187736434756
326,5.028383869868094,0.41389674178185487,-0.21879810787582102,0.9998161935493405,386,305,0.7901554404145078,0.36635706502507365,ok,1298.481912697167,550.2772476821162,-0.057153769488526726
327,-0.2967277554632801,0.4530736260877575,-0.16857420373673862,1.0001218494827409,383,364,0.9503916449086162,0.46116140367481195,ok,1298.7795209621927,549.8247519450015,0.11142043424821169
328,-1.1900271250422065,0.6477242724376993,-0.10784838479097601,1.000009359389909,387,372,0.9612403100775194,0.3939577480946549,ok,1299.972018183558,549.1815865941965,0.21926881903918757
